,created_hr,set,favorite_count,retweet_count,influence_score,user_since,followers_count,listed_count,num_tags,num_media,num_symbols,num_urls,num_user_mentions,influence_interval,isVerified,isRetweeted,isReply,dotw
24827,7,1,0,0,48.9,9,1839,39,0,0,0,1,0,4,0,0,0,1
24852,7,1,0,0,48.9,9,1839,39,0,0,0,0,0,4,0,0,0,1
14774,14,4,0,0,48.85,9,1837,39,0,0,0,1,2,3,0,0,1,5
12259,18,6,2,0,48.85,2,1909,7,0,0,0,1,0,4,0,0,0,4
15251,16,5,0,0,48.85,9,1837,39,0,0,0,1,1,2,0,0,1,5
21373,9,2,0,0,48.825,9,1836,39,0,0,0,1,0,3,0,0,0,7
17175,9,2,2,0,48.825,2,1908,7,0,0,0,1,0,1,0,0,0,6
17656,12,3,0,0,48.8,9,1835,39,0,0,0,0,1,0,0,0,1,6
16289,7,1,0,0,48.8,9,1835,39,0,0,0,1,1,0,0,0,1,6
16881,7,1,0,0,48.8,9,1835,39,0,0,0,1,2,4,0,0,1,6
14076,12,3,1,0,48.699999999999996,2,1915,7,0,0,0,1,0,3,0,0,0,5
20507,7,1,3,0,48.625,8,1690,73,0,0,0,0,3,1,0,0,1,7
18891,14,4,1,0,48.625,2,1912,7,0,0,0,1,0,4,0,0,0,6
8029,18,6,1,0,48.575,5,1682,83,0,0,0,1,2,3,0,0,0,3
12200,18,6,1,0,48.55,2,1909,7,0,0,0,1,0,4,0,0,0,4
12268,18,6,1,0,48.55,2,1909,7,0,0,0,1,0,4,0,0,0,4
17152,9,2,1,0,48.525,2,1908,7,0,0,0,1,0,1,0,0,0,6
26075,12,3,7,0,48.35000000000001,3,1841,3,0,0,0,1,8,3,0,0,1,1
19346,16,5,0,0,48.325,2,1912,7,0,0,0,1,0,3,0,0,0,6
18924,14,4,0,0,48.325,2,1912,7,0,0,0,1,0,4,0,0,0,6
19353,16,5,0,0,48.325,2,1912,7,0,0,0,1,0,3,0,0,0,6
24105,18,6,1,0,48.275,8,1895,8,0,0,0,0,0,3,0,0,0,7
5229,9,2,1,0,48.275,2,1898,7,0,0,0,1,0,1,0,0,0,3
16197,18,6,24,1,48.275,5,1550,23,0,1,0,0,0,4,0,1,0,5
3771,18,6,1,0,48.25,2,1897,7,0,0,0,1,0,1,0,0,0,2
4044,18,6,1,0,48.25,2,1897,7,0,0,0,1,0,3,0,0,0,2
4046,18,6,1,0,48.25,2,1897,7,0,0,0,1,0,3,0,0,0,2
4780,7,1,0,0,48.2,2,1901,9,0,0,0,1,0,3,0,0,0,3
